# NAME,VALUE
K1:VIS-ETMX_BF_SEISALIGN_2_2,1.0
K1:VIS-ETMX_BF_SEISALIGN_2_3,0.0
K1:VIS-ETMX_BF_SEISALIGN_3_1,0.0
K1:VIS-ETMX_BF_SEISALIGN_3_2,0.0
K1:VIS-ETMX_BF_SEISALIGN_3_3,1.0
K1:VIS-ETMX_BF_EUL2COIL_1_1,0.0
K1:VIS-ETMX_BF_EUL2COIL_1_2,0.0
K1:VIS-ETMX_BF_EUL2COIL_1_3,1.0
K1:VIS-ETMX_BF_EUL2COIL_1_4,0.181999981403
K1:VIS-ETMX_BF_EUL2COIL_1_5,0.315229952335
K1:VIS-ETMX_BF_EUL2COIL_1_6,0.0
K1:VIS-ETMX_BF_EUL2COIL_2_1,0.0
K1:VIS-ETMX_BF_EUL2COIL_2_2,0.0
K1:VIS-ETMX_BF_EUL2COIL_2_3,1.0
K1:VIS-ETMX_BF_EUL2COIL_2_4,0.181999981403
K1:VIS-ETMX_BF_EUL2COIL_2_5,-0.315229952335
K1:VIS-ETMX_BF_EUL2COIL_2_6,0.0
K1:VIS-ETMX_BF_EUL2COIL_3_1,0.0
K1:VIS-ETMX_BF_EUL2COIL_3_2,0.0
K1:VIS-ETMX_BF_EUL2COIL_3_3,1.0
K1:VIS-ETMX_BF_EUL2COIL_3_4,-0.363999962807
K1:VIS-ETMX_BF_EUL2COIL_3_5,0.0
K1:VIS-ETMX_BF_EUL2COIL_3_6,0.0
K1:VIS-ETMX_BF_EUL2COIL_4_1,-1.0
K1:VIS-ETMX_BF_EUL2COIL_4_2,0.0
K1:VIS-ETMX_BF_EUL2COIL_4_3,0.0
K1:VIS-ETMX_BF_EUL2COIL_4_4,0.0
K1:VIS-ETMX_BF_EUL2COIL_4_5,0.0
K1:VIS-ETMX_BF_EUL2COIL_4_6,0.407999992371
K1:VIS-ETMX_BF_EUL2COIL_5_1,0.5
K1:VIS-ETMX_BF_EUL2COIL_5_2,0.866000115871
K1:VIS-ETMX_BF_EUL2COIL_5_3,0.0
K1:VIS-ETMX_BF_EUL2COIL_5_4,0.0
K1:VIS-ETMX_BF_EUL2COIL_5_5,0.0
K1:VIS-ETMX_BF_EUL2COIL_5_6,0.407999992371
K1:VIS-ETMX_BF_EUL2COIL_6_1,0.5
K1:VIS-ETMX_BF_EUL2COIL_6_2,-0.866000115871
K1:VIS-ETMX_BF_EUL2COIL_6_3,0.0
K1:VIS-ETMX_BF_EUL2COIL_6_4,0.0
K1:VIS-ETMX_BF_EUL2COIL_6_5,0.0
K1:VIS-ETMX_BF_EUL2COIL_6_6,0.407999992371
K1:VIS-ITMX_KALMAN_D_1_1,0.0
K1:VIS-ITMX_KALMAN_D_1_2,0.0
K1:VIS-ITMX_KALMAN_D_2_1,0.0
K1:VIS-ITMX_KALMAN_D_2_2,0.0
K1:VIS-ITMX_KALMAN_D_3_1,0.0
K1:VIS-ITMX_KALMAN_D_3_2,0.0
K1:VIS-ITMX_KALMAN_D_4_1,0.0
K1:VIS-ITMX_KALMAN_D_4_2,0.0
K1:VIS-ITMX_KALMAN_D_5_1,0.0
K1:VIS-ITMX_KALMAN_D_5_2,0.0
K1:VIS-ITMX_KALMAN_D_6_1,0.0
K1:VIS-ITMX_KALMAN_D_6_2,0.0
K1:VIS-ITMX_KALMAN_C_1_1,0.0
K1:VIS-ITMX_KALMAN_C_1_2,0.0
K1:VIS-ITMX_KALMAN_C_1_3,0.0
K1:VIS-ITMX_KALMAN_C_1_4,0.0
K1:VIS-ITMX_KALMAN_C_1_5,0.0
K1:VIS-ITMX_KALMAN_C_1_6,0.0
K1:VIS-ITMX_KALMAN_C_2_1,0.0
K1:VIS-ITMX_KALMAN_C_2_2,0.0
K1:VIS-ITMX_KALMAN_C_2_3,0.0
K1:VIS-ITMX_KALMAN_C_2_4,0.0
K1:VIS-ITMX_KALMAN_C_2_5,0.0
K1:VIS-ITMX_KALMAN_C_2_6,0.0
K1:VIS-ITMX_KALMAN_C_3_1,0.0
K1:VIS-ITMX_KALMAN_C_3_2,0.0
K1:VIS-ITMX_KALMAN_C_3_3,0.0
K1:VIS-ITMX_KALMAN_C_3_4,0.0
K1:VIS-ITMX_KALMAN_C_3_5,0.0
K1:VIS-ITMX_KALMAN_C_3_6,0.0
K1:VIS-ITMX_KALMAN_C_4_1,0.0
K1:VIS-ITMX_KALMAN_C_4_2,0.0
K1:VIS-ITMX_KALMAN_C_4_3,0.0
